region,group,metric,approx_unique_vins
LIPA,20,EV,10649
LIPA,21,ALL,2413914
LIPA,21,EV,11074
LIPA,22,ALL,2372933
LIPA,22,EV,11601
LIPA,23,ALL,2379260
LIPA,23,EV,11978
LIPA,24,ALL,2378009
LIPA,24,EV,12155
LIPA,25,ALL,2381357
LIPA,25,EV,12376
LIPA,26,ALL,2372745
LIPA,26,EV,12645
LIPA,27,ALL,2391508
LIPA,27,EV,12861
LIPA,28,ALL,2400190
LIPA,28,EV,13158
LIPA,29,ALL,2403253
LIPA,29,EV,13404
LIPA,3,ALL,2383165
LIPA,3,EV,1166
LIPA,30,ALL,2407851
LIPA,30,EV,13566
LIPA,31,ALL,2407378
LIPA,31,EV,13842
LIPA,32,ALL,2409946
LIPA,32,EV,14096
LIPA,33,ALL,2409784
LIPA,33,EV,14278
LIPA,34,ALL,2364874
LIPA,34,EV,14616
LIPA,35,ALL,2375367
LIPA,35,EV,14888
LIPA,36,ALL,2371155
LIPA,36,EV,15074
LIPA,37,ALL,2367542
LIPA,37,EV,15209
LIPA,38,ALL,2338374
LIPA,38,EV,15340
LIPA,39,ALL,2333444
LIPA,39,EV,15327
LIPA,4,ALL,2401700
LIPA,4,EV,2517
LIPA,40,ALL,2338125
LIPA,40,EV,15482
LIPA,41,ALL,2351228
LIPA,41,EV,15813
LIPA,42,ALL,2353226
LIPA,42,EV,15983
LIPA,43,ALL,2357730
LIPA,43,EV,16414
LIPA,44,ALL,2375947
LIPA,44,EV,17244
LIPA,45,ALL,2383010
LIPA,45,EV,17530
LIPA,46,ALL,2342867
LIPA,46,EV,17912
LIPA,47,ALL,2351406
LIPA,47,EV,18775
LIPA,48,ALL,2347912
LIPA,48,EV,19036
LIPA,49,ALL,2359928
LIPA,49,EV,19764
LIPA,5,ALL,2420970
LIPA,5,EV,3881
LIPA,50,ALL,2506566
LIPA,50,EV,20312
LIPA,51,ALL,2518210
LIPA,51,EV,20923
LIPA,52,ALL,2544219
LIPA,52,EV,22381
LIPA,53,ALL,2556839
