region,lag_months,survival_prob,n_at_risk,n_events
LIPA,67,0.39652532467505064,8675,98
LIPA,68,0.3923771757721257,8412,88
LIPA,69,0.3890408818561335,8115,69
LIPA,70,0.3842557537769293,7805,96
LIPA,71,0.37794646968419365,7552,124
LIPA,72,0.37157951728133926,7242,122
LIPA,73,0.3680972986216958,6936,65
LIPA,74,0.36432446534705276,6732,69
LIPA,75,0.3603412443677425,6494,71
LIPA,76,0.35658648629081025,6238,65
LIPA,77,0.35256994147256027,6037,68
LIPA,78,0.3477119333227489,5806,80
LIPA,79,0.34445643808818227,5554,52
LIPA,80,0.33990047551287284,5368,71
LIPA,81,0.33648203255267634,5071,51
LIPA,82,0.332897097196266,4693,50
LIPA,83,0.33017029503493134,4395,36
LIPA,84,0.32593324282261865,4130,53
LIPA,85,0.32263671884178824,3856,39
LIPA,86,0.3189221513551229,3648,42
LIPA,87,0.3149174211440426,3504,44
LIPA,88,0.312255879401805,3313,28
LIPA,89,0.3090977921259334,3164,32
LIPA,90,0.3055202713837351,3024,35
LIPA,91,0.30264202737558404,2866,27
LIPA,92,0.29843708745335473,2663,37
LIPA,93,0.2942321475311254,2626,37
LIPA,94,0.29108139142082506,2428,26
LIPA,95,0.28696117189197073,2402,34
LIPA,96,0.283147297471775,2182,29
LIPA,97,0.28025401342886785,2153,22
LIPA,98,0.27610210211881053,2025,30
LIPA,99,0.274676691163112,1937,10
LIPA,100,0.27161012523306133,1254,14
LIPA,101,0.2681054784558605,1240,16
LIPA,102,0.2639437104079346,1224,19
LIPA,103,0.261315225325034,1205,12
LIPA,104,0.25912482108928353,1193,10
LIPA,105,0.25737249770068316,1183,8
LIPA,106,0.2534297700763323,1175,18
LIPA,107,0.2494870424519814,1157,18
LIPA,108,0.2486108807576812,1139,4
LIPA,109,0.24663951694550576,1135,9
LIPA,110,0.24379199143903013,1126,13
LIPA,111,0.24072542550897943,1113,14
LIPA,112,0.23809694042607885,1099,12
LIPA,113,0.23590653619032836,1087,10
LIPA,114,0.2317447681424024,1077,19
LIPA,115,0.22955436390665193,1058,10
LIPA,116,0.22683129909162641,843,10
LIPA,117,0.22356362131359578,833,12
LIPA,118,0.22192978242458047,821,6
LIPA,119,0.21920671760955493,815,10
LIPA,120,0.21730057223903707,805,7
LIPA,121,0.21593903983152432,798,5
LIPA,122,0.21457750742401158,793,5
LIPA,123,0.21348828149800136,788,4
LIPA,124,0.21022060371997073,784,12
LIPA,125,0.2053190870529248,772,18
LIPA,126,0.2023237157563967,754,11
LIPA,127,0.20068987686738138,743,6
LIPA,128,0.2002892982708397,501,1
LIPA,129,0.19908756248121465,500,3
LIPA,130,0.19548235511233952,497,9
LIPA,131,0.19067541195383936,488,12
LIPA,132,0.18867251897113096,476,5
LIPA,133,0.1878713617780476,471,2
LIPA,134,0.18666962598842257,469,3
LIPA,135,0.18506731160225587,466,4
LIPA,136,0.18306441861954748,462,5
LIPA,137,0.18146210423338077,457,4
LIPA,138,0.17945921125067235,453,5
LIPA,139,0.17745631826796396,448,5
LIPA,140,0.175265499523915,243,3
LIPA,141,0.17453522660923204,240,1
LIPA,142,0.17453522660923204,239,0
LIPA,143,0.17307468077986607,239,2
LIPA,144,0.17307468077986607,237,0
LIPA,145,0.17015358912113415,237,4
LIPA,146,0.1679627703770852,233,3
LIPA,147,0.1679627703770852,230,0
LIPA,148,0.16431140580367032,230,5
LIPA,149,0.16358113288898735,225,1
LIPA,150,0.1621205870596214,224,2
LIPA,151,0.1621205870596214,222,0
LIPA,152,0.1621205870596214,57,0
LIPA,153,0.1621205870596214,57,0
LIPA,154,0.1621205870596214,57,0
LIPA,155,0.159276366234014,57,1
LIPA,156,0.159276366234014,56,0
LIPA,157,0.159276366234014,56,0
LIPA,158,0.159276366234014,56,0
LIPA,159,0.1535879245827992,56,2
LIPA,160,0.1535879245827992,54,0
LIPA,161,0.15074370375719182,54,1
LIPA,162,0.14789948293158442,53,1
LIPA,163,0.14505526210597702,52,1
LIPA,164,0.14091082604580624,35,1
LIPA,165,0.13676638998563545,34,1
LIPA,166,0.13676638998563545,33,0
LIPA,167,0.13676638998563545,33,0
LIPA,168,0.13676638998563545,33,0
LIPA,169,0.13676638998563545,33,0
LIPA,170,0.13676638998563545,33,0
LIPA,171,0.13676638998563545,33,0
LIPA,172,0.1326219539254647,33,1
LIPA,173,0.12847751786529393,32,1
LIPA,174,0.12847751786529393,31,0
LIPA,175,0.12847751786529393,31,0
