region,lag_months,survival_prob,n_at_risk,n_events
LIPA,0,1.0,119779,0
LIPA,1,0.9912839479374514,119779,1044
LIPA,2,0.986928907980109,116085,510
LIPA,3,0.9818714135761397,112792,578
LIPA,4,0.9776782032940892,110054,470
LIPA,5,0.9725431478441472,107572,565
LIPA,6,0.9680814290789487,104628,480
LIPA,7,0.9631754507336193,102018,517
LIPA,8,0.9585220561176819,99766,482
LIPA,9,0.9541311221343292,96705,443
LIPA,10,0.9491874904865605,93413,484
LIPA,11,0.9431096495383673,90892,582
LIPA,12,0.9374651137117603,87886,526
LIPA,13,0.9211979323688235,85176,1478
LIPA,14,0.9159425521342431,81333,464
LIPA,15,0.9106761091606589,78786,453
LIPA,16,0.9054034071490853,75822,439
LIPA,17,0.8995248058041082,73312,476
LIPA,18,0.8933877094282869,70501,481
LIPA,19,0.8871615534270371,68014,474
LIPA,20,0.8804309639352833,66037,501
LIPA,21,0.872321328709602,63294,583
LIPA,22,0.8636668338369433,60678,602
LIPA,23,0.8488629703280095,58574,1004
LIPA,24,0.8315820407607154,55851,1137
LIPA,25,0.8078897533356293,53035,1511
LIPA,26,0.7996584968588599,50056,510
LIPA,27,0.7910318496074612,47924,517
LIPA,28,0.7825617852780125,46042,493
LIPA,29,0.7728344680475546,44167,549
LIPA,30,0.7617056517076699,42500,612
LIPA,31,0.749581578328598,40774,649
LIPA,32,0.73711118489464,39191,652
LIPA,33,0.7164437817360803,37520,1052
LIPA,34,0.6874465506885192,35455,1435
LIPA,35,0.6504174748303797,33250,1791
LIPA,36,0.6150417758282781,30723,1671
LIPA,37,0.5954030332523379,28186,900
LIPA,38,0.5812091244214572,26511,632
LIPA,39,0.5696367312568933,25363,505
LIPA,40,0.5592077310591222,24033,440
LIPA,41,0.5472895525735754,23038,491
LIPA,42,0.5349100024725555,22193,502
LIPA,43,0.5270053065967056,20910,309
LIPA,44,0.519148576108452,20056,299
LIPA,45,0.5126027780977181,19431,245
LIPA,46,0.5057047969089772,18578,250
LIPA,47,0.4952516809952162,17900,370
LIPA,48,0.48558499608387223,17163,335
LIPA,49,0.4795573325179076,16273,202
LIPA,50,0.47464509351644374,15620,160
LIPA,51,0.4699080539182294,15130,151
LIPA,52,0.46522085641497085,14236,142
LIPA,53,0.46136459395359464,13753,114
LIPA,54,0.45658863461329036,13331,138
LIPA,55,0.45150349060426387,12750,142
LIPA,56,0.4475375078114631,12409,109
LIPA,57,0.44269189784700136,11822,128
LIPA,58,0.43836125826635114,11449,112
LIPA,59,0.4342254031025478,11129,105
LIPA,60,0.428898992232258,10598,130
LIPA,61,0.4234283418211323,10192,130
LIPA,62,0.41842418869051895,9900,117
LIPA,63,0.41447430648135736,9534,90
LIPA,64,0.4101834045701948,9273,96
LIPA,65,0.4051010882635685,9120,113
LIPA,66,0.4010559859573352,8913,89
