DMV_ID,date,stock_all_t,stock_ev_t,flow_ev_t,gas_price_t,elec_price_t,C_gas_t,C_ev_t,tco_adv_t,adopt_ev_t,adopt_ev_cum_t,adopt_ev_cum_prev
39,2020-06-02,2333444,15327,159,2.112,0.2212749772520473,0.07542857142857143,0.06638249317561419,0.009046078252957238,159.0,23141.0,22982.0
40,2020-07-02,2338125,15482,362,2.143,0.21664094631483163,0.07653571428571428,0.06499228389444948,0.011543430391264792,362.0,23503.0,23141.0
41,2020-08-02,2351228,15813,527,2.129,0.21316542311191988,0.07603571428571429,0.06394962693357596,0.012086087352138328,527.0,24030.0,23503.0
42,2020-09-02,2353226,15983,363,2.122,0.22011646951774338,0.07578571428571428,0.06603494085532301,0.009750773430391269,363.0,24393.0,24030.0
43,2020-10-02,2357730,16414,702,2.078,0.22359199272065514,0.0742142857142857,0.06707759781619654,0.007136687898089161,702.0,25095.0,24393.0
44,2020-11-02,2375947,17244,992,2.05,0.22011646951774338,0.0732142857142857,0.06603494085532301,0.007179344858962697,992.0,26087.0,25095.0
45,2020-12-02,2383010,17530,494,2.137,0.21200691537761598,0.07632142857142857,0.06360207461328479,0.012719353958143775,494.0,26581.0,26087.0
46,2021-01-12,2342867,17912,608,2.316,0.20791814671814673,0.08271428571428571,0.062375444015444016,0.020338841698841696,608.0,27189.0,26581.0
47,2021-02-01,2351406,18775,1135,2.498,0.2135989703989704,0.08921428571428572,0.06407969111969113,0.025134594594594592,1135.0,28324.0,27189.0
48,2021-03-02,2347912,19036,454,2.754,0.20450965250965253,0.09835714285714285,0.06135289575289576,0.037004247104247094,454.0,28778.0,28324.0
49,2021-04-01,2359928,19764,1004,2.769,0.21019047619047618,0.09889285714285714,0.06305714285714285,0.03583571428571429,1004.0,29782.0,28778.0
50,2021-05-01,2506566,20312,767,2.937,0.2260967824967825,0.10489285714285713,0.06782903474903475,0.03706382239382239,767.0,30549.0,29782.0
51,2021-06-01,2518210,20923,832,3.027,0.22155212355212356,0.10810714285714286,0.06646563706563706,0.0416415057915058,832.0,31381.0,30549.0
52,2021-07-01,2544219,22381,1677,3.089,0.2226882882882883,0.11032142857142857,0.06680648648648649,0.04351494208494208,1677.0,33058.0,31381.0
53,2021-08-01,2556839,23082,830,3.101,0.2260967824967825,0.11075,0.06782903474903475,0.042920965250965254,830.0,33888.0,33058.0
54,2021-09-02,2561650,23876,1028,3.188,0.23291377091377094,0.11385714285714287,0.06987413127413128,0.043983011583011586,1028.0,34916.0,33888.0
55,2021-10-01,2574455,24726,1180,3.311,0.23404993564993568,0.11825,0.0702149806949807,0.0480350193050193,1180.0,36096.0,34916.0
56,2021-11-01,2576417,25289,768,3.458,0.22723294723294724,0.12350000000000001,0.06816988416988416,0.05533011583011585,768.0,36864.0,36096.0
57,2021-12-01,2579303,25868,845,3.387,0.22155212355212356,0.12096428571428572,0.06646563706563706,0.05449864864864866,845.0,37709.0,36864.0
58,2022-01-01,2532595,26725,1235,3.342,0.24019047619047618,0.11935714285714286,0.07205714285714285,0.04730000000000001,1235.0,38944.0,37709.0
59,2022-02-01,2538736,27132,633,3.607,0.2470530612244898,0.1288214285714286,0.07411591836734693,0.05470551020408165,633.0,39577.0,38944.0
60,2022-03-01,2537619,27798,960,4.252,0.22532154195011336,0.15185714285714286,0.067596462585034,0.08426068027210885,960.0,40537.0,39577.0
61,2022-04-01,2548486,28886,1349,4.014,0.2413342403628118,0.14335714285714288,0.07240027210884355,0.07095687074829933,1349.0,41886.0,40537.0
62,2022-05-01,2526616,29351,618,4.643,0.2504843537414966,0.16582142857142856,0.07514530612244898,0.09067612244897959,618.0,42504.0,41886.0
63,2022-06-01,2554566,30107,973,4.847,0.2562031746031746,0.17310714285714288,0.07686095238095238,0.0962461904761905,973.0,43477.0,42504.0
