region,snapshot_id,new_all,new_ev,ev_share_pct
CHGE,82,6288,312,4.9618
CHGE,83,6808,298,4.3772
CHGE,84,6376,246,3.8582
CHGE,85,7278,267,3.6686
CHGE,86,7951,369,4.6409
CHGE,87,7770,319,4.1055
CHGE,88,7089,338,4.7680
CHGE,89,7666,337,4.3960
CHGE,90,8000,406,5.0750
CHGE,91,7268,349,4.8019
CHGE,92,7707,311,4.0353
CHGE,93,6520,306,4.6933
CHGE,94,6935,414,5.9697
CHGE,95,7546,384,5.0888
CHGE,96,6104,275,4.5052
CHGE,97,7338,340,4.6334
CHGE,98,8141,386,4.7414
CHGE,99,7372,333,4.5171
CHGE,100,7433,304,4.0899
CHGE,101,8055,367,4.5562
CHGE,102,7413,406,5.4769
