adoption_scenario,forecast_year,managed_flag,hour,kw,kwh,mw
baseline,2018,False,20,121.71916280817226,121.71916280817226,0.12171916280817226
baseline,2018,True,3,83.04507870433989,83.04507870433989,0.08304507870433989
baseline,2019,False,20,435.7417203783416,435.7417203783416,0.4357417203783416
baseline,2019,True,3,296.80413329549134,296.80413329549134,0.2968041332954913
baseline,2020,False,20,934.4039748263308,934.4039748263308,0.9344039748263308
baseline,2020,True,3,636.430396379951,636.430396379951,0.636430396379951
baseline,2021,False,20,1691.9078644114795,1691.9078644114795,1.6919078644114796
baseline,2021,True,3,1152.9496593310873,1152.9496593310873,1.1529496593310873
baseline,2022,False,20,2820.235123205278,2820.235123205278,2.820235123205278
baseline,2022,True,3,1922.0636802312529,1922.0636802312529,1.922063680231253
baseline,2023,False,20,4348.832739921816,4348.832739921816,4.348832739921816
baseline,2023,True,3,2963.207972819789,2963.207972819789,2.9632079728197893
baseline,2024,False,20,6459.984099158842,6459.984099158842,6.4599840991588415
baseline,2024,True,3,4399.902789286639,4399.902789286639,4.399902789286639
baseline,2025,False,20,9258.616076940125,9258.616076940125,9.258616076940125
baseline,2025,True,3,6305.548140295736,6305.548140295736,6.305548140295736
baseline,2026,False,20,12727.239849476746,12727.239849476746,12.727239849476746
baseline,2026,True,3,8666.484095625501,8666.484095625501,8.666484095625501
baseline,2027,False,20,15805.964594100213,15805.964594100213,15.805964594100212
baseline,2027,True,3,10762.211880023462,10762.211880023462,10.762211880023463
tco,2018,False,20,180.24554017998585,180.24554017998585,0.18024554017998584
tco,2018,True,3,122.90992915314301,122.90992915314301,0.12290992915314301
tco,2019,False,20,530.2652750929209,530.2652750929209,0.5302652750929209
tco,2019,True,3,361.20441841068646,361.20441841068646,0.36120441841068646
tco,2020,False,20,1044.3523605210494,1044.3523605210494,1.0443523605210494
tco,2020,True,3,711.3456689807508,711.3456689807508,0.7113456689807508
tco,2021,False,20,1800.7442966243573,1800.7442966243573,1.8007442966243572
tco,2021,True,3,1227.0762653218453,1227.0762653218453,1.2270762653218452
tco,2022,False,20,2900.6040020788155,2900.6040020788155,2.9006040020788153
tco,2022,True,3,1976.759238962647,1976.759238962647,1.976759238962647
tco,2023,False,20,4395.46600390616,4395.46600390616,4.39546600390616
tco,2023,True,3,2994.9333401073573,2994.9333401073573,2.9949333401073575
tco,2024,False,20,6462.187415981558,6462.187415981558,6.462187415981558
tco,2024,True,3,4401.411653122479,4401.411653122479,4.401411653122479
tco,2025,False,20,9246.544381845919,9246.544381845919,9.246544381845919
tco,2025,True,3,6297.344398928441,6297.344398928441,6.29734439892844
tco,2026,False,20,12698.162445436114,12698.162445436114,12.698162445436113
tco,2026,True,3,8646.718450617624,8646.718450617624,8.646718450617623
tco,2027,False,20,15755.29502205681,15755.29502205681,15.75529502205681
tco,2027,True,3,10727.758278989239,10727.758278989239,10.727758278989239
tco_evse,2018,False,20,446.39556865153327,446.39556865153327,0.4463955686515333
tco_evse,2018,True,3,304.1847842290576,304.1847842290576,0.3041847842290576
tco_evse,2019,False,20,783.4462102450766,783.4462102450766,0.7834462102450765
tco_evse,2019,True,3,533.6384505189707,533.6384505189707,0.5336384505189706
tco_evse,2020,False,20,1218.2585734633392,1218.2585734633392,1.218258573463339
tco_evse,2020,True,3,829.789698468887,829.789698468887,0.829789698468887
tco_evse,2021,False,20,1905.6002068192881,1905.6002068192881,1.905600206819288
tco_evse,2021,True,3,1298.470018037371,1298.470018037371,1.298470018037371
tco_evse,2022,False,20,2975.645531675723,2975.645531675723,2.9756455316757227
tco_evse,2022,True,3,2027.8703687164013,2027.8703687164013,2.0278703687164015
tco_evse,2023,False,20,4447.078892325595,4447.078892325595,4.447078892325595
tco_evse,2023,True,3,3030.080101941675,3030.080101941675,3.030080101941675
tco_evse,2024,False,20,6732.053560340068,6732.053560340068,6.732053560340067
tco_evse,2024,True,3,4585.091063015834,4585.091063015834,4.585091063015835
tco_evse,2025,False,20,9362.031124289504,9362.031124289504,9.362031124289505
tco_evse,2025,True,3,6375.925776692604,6375.925776692604,6.375925776692604
tco_evse,2026,False,20,12384.701083439993,12384.701083439993,12.384701083439994
tco_evse,2026,True,3,8433.326259598227,8433.326259598227,8.433326259598227
tco_evse,2027,False,20,15023.033468083962,15023.033468083962,15.023033468083963
tco_evse,2027,True,3,10229.271090762419,10229.271090762419,10.229271090762419
