managed_flag,charging_h3,hour,kw,kwh
True,882b8902b1fffff,3,107.40568630750778,107.40568630750778
True,882b8902b1fffff,1,107.14104717857434,107.14104717857434
True,882b8902b1fffff,0,106.63892515639077,106.63892515639077
True,882b8902b1fffff,4,106.58005016892211,106.58005016892211
True,882b8902b1fffff,2,106.55054852961263,106.55054852961263
