managed_flag,charging_h3,hour,kw,kwh
False,882b8902b1fffff,20,165.64342177526777,165.64342177526777
False,882b8902b1fffff,19,163.21061055091096,163.21061055091096
False,882b890025fffff,19,160.55647246340604,160.55647246340604
False,882b8902b1fffff,18,159.86460139037231,159.86460139037231
False,882b890025fffff,18,156.44628427205927,156.44628427205927
