date,DMV_ID,is_train,stock_ev_t_obs,flow_ev_t_obs,stock_ev_t_hat_fit,flow_ev_t_hat_fit,stock_ev_t_hat_anchor,flow_ev_t_hat_anchor,stock_ev_t_hat_cov_fit,flow_ev_t_hat_cov_fit,stock_ev_t_hat_cov_anchor,flow_ev_t_hat_cov_anchor,stock_ev_t_hat_cov_policy_fit,flow_ev_t_hat_cov_policy_fit,stock_ev_t_hat_cov_policy_anchor,flow_ev_t_hat_cov_policy_anchor
2019-01-02,22.0,1,11601.0,707.0,11554.284503024426,480.28450302442695,,,11547.20721587503,473.2072158750309,,,11514.110391982353,440.1103919823527,,
2019-02-02,23.0,1,11978.0,533.0,12103.337429525003,502.33742952500324,,,12094.914142652564,493.9141426525647,,,12059.84619947393,458.84619947392997,,
2019-03-02,24.0,1,12155.0,317.0,12496.069574654353,518.0695746543524,,,12487.635087083729,509.63508708372797,,,12457.123833313963,479.1238333139626,,
2019-04-02,25.0,1,12376.0,392.0,12680.443135476837,525.4431354768363,,,12672.819070905556,517.8190709055552,,,12647.266414332626,492.26641433262495,,
2019-05-02,26.0,1,12645.0,396.0,12910.638352881617,534.6383528816165,,,12903.297080562023,527.297080562023,,,12885.380691915707,509.3806919157062,,
2019-06-02,27.0,1,12861.0,357.0,13190.813759437,545.8137594370007,,,13182.223381941232,537.2233819412323,,,13156.087873903047,511.08787390304616,,
2019-07-02,28.0,1,13158.0,480.0,13415.773838914565,554.7738389145657,,,13406.784461341056,545.7844613410563,,,13366.560080593648,505.56008059364825,,
2019-08-02,29.0,1,13404.0,463.0,13725.074341423177,567.0743414231766,,,13715.211064485396,557.2110644853971,,,13673.338524378489,515.3385243784886,,
2019-09-03,30.0,1,13566.0,364.0,13981.245446772002,577.2454467720021,,,13970.27261424348,566.272614243481,,,13926.191835803753,522.1918358037533,,
2019-10-11,31.0,1,13842.0,454.0,14149.934986108265,583.9349861082652,,,14138.294355838852,572.2943558388524,,,14092.43249827638,526.4324982763792,,
2019-11-02,32.0,1,14096.0,462.0,14437.316422422342,595.3164224223424,,,14425.264471707094,583.2644717070953,,,14379.289243511012,537.2892435110114,,
2019-12-02,33.0,1,14278.0,373.0,14701.773319048913,605.7733190489117,,,14689.193939894976,593.1939398949763,,,14642.620187346718,546.6201873467185,,
2020-01-02,34.0,1,14616.0,541.0,14891.255844486694,613.2558444866936,,,14878.520430246634,600.5204302466333,,,14827.828510533067,549.8285105330674,,
2020-02-02,35.0,1,14888.0,461.0,15243.129345253134,627.1293452531332,,,15229.152256209558,613.1522562095573,,,15177.573869182434,561.5738691824328,,
2020-03-02,36.0,1,15074.0,350.0,15526.27246761214,638.2724676121394,,,15511.148854227878,623.1488542278787,,,15459.04425242217,571.0442524221716,,
2020-04-02,37.0,1,15209.0,344.0,15719.881434343994,645.8814343439927,,,15703.396694992272,629.3966949922733,,,15651.07063626103,577.0706362610302,,
2020-05-04,38.0,1,15340.0,267.0,15860.398494867359,651.3984948673587,,,15843.5503599885,634.5503599884998,,,15790.9872937728,581.987293772799,,
2020-06-02,39.0,1,15327.0,159.0,15996.747602728035,656.7476027280348,,,15979.97814951255,639.9781495125499,,,15927.00007656134,587.0000765613403,,
2020-07-02,40.0,1,15482.0,362.0,15983.216972635191,656.2169726351915,,,15966.604929731484,639.6049297314847,,,15913.585873624792,586.5858736247924,,
2020-08-02,41.0,1,15813.0,527.0,16144.540883664444,662.5408836644439,,,16127.609156079381,645.6091560793811,,,16074.258089225948,592.2580892259482,,
2020-09-02,42.0,1,15983.0,363.0,16489.02479241884,676.0247924188424,,,16471.52101317676,658.5210131767584,,,16417.504258216457,604.5042582164577,,
2020-10-02,43.0,1,16414.0,702.0,16665.93910256409,682.9391025640904,,,16647.971322299454,664.9713222994538,,,16593.71902289564,610.7190228956377,,
2020-11-02,44.0,1,17244.0,992.0,17114.435578662484,700.4355786624827,,,17095.67220407968,681.6722040796794,,,17040.560122619692,626.5601226196922,,
2020-12-02,45.0,1,17530.0,494.0,17977.994801610323,733.9948016103214,,,17958.375748024784,714.3757480247834,,,17901.372403429046,657.3724034290462,,
2021-01-12,46.0,1,17912.0,608.0,18275.517508469937,745.517508469937,,,18256.288538018136,726.2885380181348,,,18198.429732800705,668.4297328007044,,
2021-02-01,47.0,1,18775.0,1135.0,18672.875139417876,760.8751394178762,,,18653.95631218308,741.95631218308,,,18595.1164148584,683.1164148584006,,
2021-03-02,48.0,1,19036.0,454.0,19570.43225526653,795.4322552665272,,,19551.616078674528,776.616078674527,,,19491.367522112363,716.3675221123632,,
2021-04-01,49.0,1,19764.0,1004.0,19841.845728410677,805.8457284106781,,,19822.78268357503,786.7826835750304,,,19762.15420773898,726.1542077389781,,
2021-05-01,50.0,1,20312.0,767.0,20598.79908468857,834.7990846885679,,,20579.722914576818,815.7229145768174,,,20518.480131139375,754.4801311393763,,
2021-06-01,51.0,1,20923.0,832.0,21168.503660448096,856.5036604480973,,,21149.290525130167,837.2905251301676,,,21087.724951130196,775.7249511301977,,
2021-07-01,52.0,1,22381.0,1677.0,21803.61234120897,880.6123412089688,,,21784.100268733306,861.1002687333054,,,21718.247054496707,795.2470544967065,,
2021-08-01,53.0,1,23082.0,830.0,23318.753534653028,937.7535346530278,,,23298.01927388302,917.0192738830206,,,23229.25691534615,848.2569153461507,,
2021-09-02,54.0,1,23876.0,1028.0,24047.032008199592,965.0320081995916,,,24026.229812384026,944.2298123840253,,,23956.440822800196,874.4408228001943,,
2021-10-01,55.0,1,24726.0,1180.0,24871.776697349524,995.7766973495228,,,24851.11152781629,975.1115278162908,,,24780.512854986588,904.5128549865876,,
2021-11-01,56.0,1,25289.0,768.0,25754.50995144101,1028.5099514410103,,,25734.179211386574,1008.179211386574,,,25663.371214289196,937.3712142891961,,
2021-12-01,57.0,1,25868.0,845.0,26339.08854616773,1050.08854616773,,,26318.111785920813,1029.111785920812,,,26245.154884248775,956.1548842487751,,
2022-01-01,58.0,1,26725.0,1235.0,26940.195297229206,1072.1952972292063,,,26918.752547904478,1050.7525479044768,,,26843.80069702092,975.8006970209195,,
2022-02-01,59.0,1,27132.0,633.0,27829.75797522363,1104.7579752236304,,,27809.52341605209,1084.5234160520884,,,27736.052786432498,1011.052786432497,,
2022-03-01,60.0,1,27798.0,960.0,28252.1561951531,1120.1561951531014,,,28235.69704377734,1103.6970437773423,,,28186.575170796026,1054.575170796026,,
2022-04-01,61.0,1,28886.0,1349.0,28943.261320765552,1145.2613207655538,,,28925.222172702262,1127.2221727022636,,,28859.28455598499,1061.2845559849882,,
2022-05-01,62.0,1,29351.0,618.0,30072.0283195886,1186.0283195886,,,30057.989252542066,1171.989252542067,,,30046.29437668369,1160.2943766836895,,
2022-06-01,63.0,1,30107.0,973.0,30554.35878505866,1203.3587850586596,,,30541.75835020096,1190.7583502009577,,,30565.490654382265,1214.4906543822642,,
2022-07-01,64.0,1,31268.0,1387.0,31338.415980396177,1231.4159803961768,,,31323.473942564702,1216.473942564701,,,31281.318309740465,1174.3183097404656,,
2022-08-01,65.0,1,31833.0,777.0,32542.217407106982,1274.2174071069815,,,32524.306119061537,1256.306119061536,,,32446.26805386009,1178.268053860091,,
2022-09-01,66.0,1,32680.0,1138.0,33127.921203862,1294.9212038620028,,,33107.27765904367,1274.2776590436686,,,33018.25558184123,1185.2555818412272,,
2022-10-02,67.0,1,33369.0,1186.0,34005.80467287087,1325.80467287087,,,33985.53660784408,1305.5366078440813,,,33894.3535356195,1214.3535356194973,,
2022-11-02,68.0,1,34150.0,992.0,34719.79092774041,1350.7909277404108,,,34701.16640930481,1332.1664093048125,,,34610.42506248886,1241.425062488857,,
2022-12-02,69.0,1,34780.0,1010.0,35528.96577765059,1378.9657776505912,,,35508.49361827587,1358.4936182758656,,,35412.94280939663,1262.9428093966264,,
2023-01-03,70.0,1,35523.0,1268.0,36181.57885629829,1401.5788562982925,,,36161.68033343189,1381.6803334318884,,,36128.237239554524,1348.237239554523,,
2023-02-03,71.0,1,36535.0,1293.0,36951.11665368103,1428.1166536810294,,,36931.914638258204,1408.914638258206,,,36898.36055157358,1375.3605515735824,,
2023-03-02,72.0,1,37494.0,1212.0,37999.03379351103,1464.0337935110297,,,37980.66627146457,1445.6662714645747,,,37942.06820695364,1407.0682069536438,,
2023-04-02,73.0,1,38445.0,1407.0,38991.826655936966,1497.826655936967,,,38975.42425579477,1481.424255794776,,,38961.80729225561,1467.8072922556119,,
2023-05-02,74.0,1,39583.0,1398.0,39976.103870450876,1531.1038704508724,,,39961.08454550716,1516.084545507164,,,39953.80221011128,1508.8022101112836,,
2023-06-02,75.0,1,40880.0,1718.0,41153.61863044503,1570.6186304450302,,,41140.172172881015,1557.1721728810123,,,41132.95880081615,1549.9588008161522,,
2023-07-02,76.0,1,42248.0,1759.0,42495.24792905957,1615.2479290595747,,,42483.94204432026,1603.9420443202632,,,42482.955596400556,1602.9555964005554,,
2023-08-02,77.0,1,43988.0,2001.0,43909.851157659534,1661.8511576595342,,,43902.09774612789,1654.0977461278896,,,43967.17256937094,1719.1725693709345,,
2023-09-02,78.0,1,45486.0,1945.0,45708.4312688323,1720.4312688323005,,,45703.57923941221,1715.5792394122077,,,45746.79539340902,1758.795393409021,,
2023-10-02,79.0,1,46958.0,2100.0,47256.23983523313,1770.2398352331281,,,47253.570747770646,1767.570747770648,,,47250.14227374139,1764.1422737413873,,
2023-11-02,80.0,1,48707.0,1996.0,48776.62130457667,1818.62130457667,,,48775.98298441367,1817.9829844136661,,,48723.51635781,1765.516357809995,,
2023-12-02,81.0,1,49878.0,1750.0,50582.38220927678,1875.3822092767796,,,50585.17082610825,1878.1708261082515,,,50507.59692046619,1800.5969204661892,,
2024-01-02,82.0,1,51525.0,2295.0,51790.94505951518,1912.945059515181,,,51796.199443017926,1918.199443017924,,,51810.116210228865,1932.116210228863,,
2024-02-02,83.0,1,53432.0,2516.0,53490.179574717695,1965.1795747176968,,,53500.40729350564,1975.4072935056379,,,53532.928155354144,2007.9281553541432,,
2024-03-02,84.0,1,54193.0,1709.0,55456.78780719132,2024.7878071913187,,,55473.47729090593,2041.477290905932,,,55556.8216335594,2124.821633559397,,
2024-04-02,85.0,1,55440.0,2202.0,56241.31355854323,2048.313558543235,,,56261.43891710555,2068.4389171055495,,,56458.131508842744,2265.1315088427464,,
2024-05-02,86.0,1,57631.0,2549.0,57526.54141252909,2086.5414125290927,,,57551.42129496172,2111.4212949617245,,,57836.79761836492,2396.797618364921,,
2024-06-02,87.0,1,59202.0,2268.0,59783.73904588355,2152.739045883552,,,59815.524411006874,2184.5244110068766,,,59974.97110723695,2343.9711072369455,,
2024-07-02,88.0,1,61661.0,2717.0,61401.44380116384,2199.44380116384,,,61439.34515510761,2237.3451551076037,,,61623.47768147388,2421.4776814738816,,
2024-08-02,89.0,1,63377.0,2240.0,63932.27293734934,2271.27293734934,,,63979.52101368494,2318.521013684941,,,64085.57742087098,2424.5774208709795,,
2024-09-02,90.0,1,64858.0,2551.0,65697.47656867119,2320.4765686711967,,,65750.9676245247,2373.9676245246937,,,65753.94501472934,2376.94501472934,,
2024-10-02,91.0,1,66154.0,2318.0,67220.33264210889,2362.3326421088905,,,67279.92827449722,2421.9282744972206,,,67243.66450235787,2385.664502357878,,
2024-11-02,92.0,1,68172.0,2579.0,68552.4970981644,2398.497098164406,,,68617.93744646225,2463.937446462254,,,68565.08560445995,2411.0856044599445,,
2024-12-02,93.0,1,69738.0,2147.0,70625.94811886316,2453.948118863158,69738.0,,70701.3734739822,2529.373473982194,69738.0,,70647.54365512916,2475.5436551291655,69738.0,
2025-01-02,94.0,0,71754.0,2982.0,,,72234.2567327186,2496.256732718592,,,72317.91063068208,2579.9106306820763,,,72271.27304961639,2533.273049616381
2025-02-05,95.0,0,73714.0,2680.0,,,74796.6498854701,2562.393152751515,,,74980.13588755102,2662.225256868939,,,74882.7142649475,2611.4412153311073
2025-03-05,96.0,0,74860.0,1818.0,,,77425.26362836514,2628.6137428950346,,,77725.95684605547,2745.8209585044533,,,77549.38531775423,2666.67105280673
2025-04-03,97.0,0,76171.0,2206.0,,,80120.05337316786,2694.7897448027265,,,80557.62434017519,2831.667494119716,,,80305.02854929792,2755.6432315436873
2025-05-03,98.0,0,77835.0,2465.0,,,82880.83905385852,2760.785680690657,,,83476.68423547072,2919.0598952955315,,,83145.4964928449,2840.467943546995
2025-06-10,99.0,0,79103.0,2063.0,,,85707.29869287607,2826.4596390175448,,,86484.60202322605,3007.917787755325,,,86062.92151259402,2917.425019749119
2025-07-07,100.0,0,80431.0,2197.0,,,88598.96232168851,2891.6636288124496,,,89582.92030598341,3098.318282757355,,,89059.14596645869,2996.2244538646614
2025-08-08,101.0,0,82366.0,2813.0,,,91555.20632652592,2956.2440048374183,,,92773.21283651727,3190.2925305338563,,,92140.67501690345,3081.529050444759
2025-09-08,102.0,0,83863.0,2650.0,,,94575.24829158724,3020.041965061315,,,96057.01609271458,3283.8032561973055,,,95316.7593331834,3176.084316279958
2025-10-08,,0,,,,,97658.1424126998,3082.89412111256,,,99435.4699496286,3378.453856914025,,,98574.80066915651,3258.0413359731065
