date,flow_ev_t,DMV_ID,stock_ev_t,stock_all_t,zip,gas_price_t,elec_price_t,C_gas_t,C_ev_t,tco_adv_t,adopt_ev_t_full,adopt_ev_cum_t_full,adopt_ev_cum_prev_full,sample_weight,market_size,adopt_ev_t,adopt_ev_cum_t,adopt_ev_cum_prev,remaining_market,imitation_share,interval_days,log_interval_scale,log_remaining_market,zip_idx,date_idx,flow_ev_t_hat_one_step,flow_ev_t_hat_fit,flow_ev_t_hat_anchor,stock_ev_t_hat_fit,stock_ev_t_hat_one_step,stock_ev_t_hat_anchor,is_train
2018-01-01,8.0,11.0,69.0,,11590,2.633,0.19383099999999998,0.09403571428571429,0.05814929999999999,0.035886414285714305,8.0,141.0,133.0,0.35,16328.865764162598,8.0,141.0,133.0,16195.865764162598,0.008145085024331493,31.0,0.0,9.692511288908431,0,0,5.174593366265141,5.174593366265141,,5.174593366265141,5.174593366265141,8.0,1
2018-02-01,7.0,,,,11590,2.685,0.20355499999999999,0.09589285714285714,0.061066499999999996,0.034826357142857145,7.0,148.0,141.0,0.35,16328.865764162598,7.0,148.0,141.0,16187.865764162598,0.008635014950607072,31.0,0.0,9.692017213656124,0,1,5.36109893160197,5.295251018159247,,10.424742359241502,10.490590272684226,14.93027158349961,1
2018-03-01,6.0,12.0,83.0,,11590,2.641,0.19740100000000002,0.09432142857142857,0.059220300000000003,0.035101128571428566,6.0,154.0,148.0,0.35,16328.865764162598,6.0,154.0,148.0,16180.865764162598,0.009063703636098203,28.0,0.0,9.691584697472845,0,2,5.524138011568555,5.418641145565129,,15.774694260375007,15.945465105979379,20.834418899403033,1
2018-04-01,3.0,13.0,86.0,,11590,2.831,0.186742,0.10110714285714285,0.0560226,0.045084542857142855,3.0,157.0,154.0,0.35,16328.865764162598,3.0,157.0,154.0,16174.865764162598,0.009431151080804888,31.0,0.0,9.69121382036481,0,3,5.663771922046152,5.544821759882088,,21.223055355163137,21.511570076460902,23.71117735209459,1
2018-05-01,3.0,14.0,88.0,,11590,3.008,0.18830200000000002,0.10742857142857143,0.0564906,0.05093797142857143,3.0,160.0,157.0,0.35,16328.865764162598,3.0,160.0,157.0,16171.865764162598,0.009614874803158228,30.0,0.0,9.69102833021685,0,4,5.733549459932714,5.673851917645592,,26.776501058467804,27.12288407772585,26.5899508130787,1
2018-06-01,7.0,15.0,91.0,,11590,2.993,0.20802700000000002,0.10689285714285714,0.0624081,0.044484757142857136,7.0,167.0,160.0,0.35,16328.865764162598,7.0,167.0,160.0,16168.865764162598,0.00979859852551157,31.0,0.0,9.690842805655912,0,5,5.803300719584453,5.805791730063659,,32.432510607348576,32.77455459257453,33.44995965502132,1
2018-07-01,5.0,16.0,90.0,,11590,2.931,0.204559,0.10467857142857143,0.0613677,0.04331087142857143,5.0,172.0,167.0,0.35,16328.865764162598,5.0,172.0,167.0,16161.865764162598,0.010227287211002701,30.0,0.0,9.69040978111372,0,6,5.965951465636416,5.940702372115665,,38.19685614995522,38.562528862287394,38.26391128753606,1
2018-08-01,3.0,17.0,92.0,,11590,2.905,0.22044699999999998,0.10375,0.06613409999999999,0.03761590000000001,3.0,175.0,172.0,0.35,16328.865764162598,3.0,175.0,172.0,16156.865764162598,0.010533493414924938,31.0,0.0,9.690100363026843,0,7,6.082042975843167,6.078646091176793,,44.069654850481236,44.43687899335943,41.06080344264519,1
2018-09-01,8.0,18.0,94.0,,11590,2.891,0.222677,0.10325,0.0668031,0.03644689999999999,8.0,183.0,175.0,0.35,16328.865764162598,8.0,183.0,175.0,16153.865764162598,0.01071721713727828,31.0,0.0,9.689914666209303,0,8,6.151662844320785,6.219686215129409,,50.05462562840308,50.35204454469867,48.85115351071107,1
2018-10-01,10.0,19.0,99.0,,11590,2.897,0.201892,0.1034642857142857,0.06056759999999999,0.04289668571428571,10.0,193.0,183.0,0.35,16328.865764162598,10.0,193.0,183.0,16145.865764162598,0.011207147063553859,30.0,0.0,9.689419306044678,0,9,6.337187355557518,6.363887159921046,,56.15561805219739,56.42513675995748,58.58779260344867,1
2018-11-01,7.0,20.0,106.0,,11590,2.753,0.199849,0.09832142857142857,0.0599547,0.038366728571428574,7.0,200.0,193.0,0.35,16328.865764162598,7.0,200.0,193.0,16135.865764162598,0.011819559471398332,31.0,0.0,9.688799760571346,0,10,6.568830212255191,6.511314436526621,,62.37234577584214,62.69816898475326,65.26739879029986,1
