date,DMV_ID,is_train,stock_ev_t_obs,flow_ev_t_obs,adopt_ev_cum_t_obs,stock_ev_t_hat_fit,flow_ev_t_hat_fit,stock_ev_t_hat_anchor,flow_ev_t_hat_anchor,stock_ev_t_hat_cov_fit,flow_ev_t_hat_cov_fit,stock_ev_t_hat_cov_anchor,flow_ev_t_hat_cov_anchor,stock_ev_t_hat_cov_policy_fit,flow_ev_t_hat_cov_policy_fit,stock_ev_t_hat_cov_policy_anchor,flow_ev_t_hat_cov_policy_anchor
2018-01-02,11.0,1,8011.0,556.0,11320.0,1776.8574017504088,374.51784077227535,,,1703.0777683275314,345.4591312963484,,,2186.9791037917944,462.5827888945833,,
2018-03-05,12.0,1,8430.0,606.0,11926.0,2129.306701300954,392.92786694023494,,,2026.2859220614532,362.00594816988286,,,2630.1528219199936,492.9952631466523,,
2018-04-03,13.0,1,8668.0,345.0,12271.0,2517.8033920720322,412.89027397340664,,,2383.725385408078,380.65282861773125,,,3178.674555057515,578.6530672741894,,
2018-05-09,14.0,1,8901.0,327.0,12598.0,2913.1660740032094,424.2069280391193,,,2748.0011386424503,391.58398623102215,,,3792.757011756828,650.4977190870874,,
2018-06-26,15.0,1,9162.0,350.0,12948.0,3314.6934517055565,434.9009443026781,,,3117.0600715995784,400.54035100489574,,,4363.634338125969,614.3275882200898,,
2018-07-03,16.0,1,9424.0,388.0,13336.0,3723.032354995664,446.31241384872783,,,3491.6386348791393,410.28796303712767,,,4899.097579963607,585.4535401946467,,
2018-08-02,17.0,1,9599.0,311.0,13647.0,4139.30174583563,458.9208789797727,,,3873.2937593965094,421.6557395064413,,,5437.58511610174,594.6121631635191,,
2018-09-02,18.0,1,9887.0,437.0,14084.0,4560.876717695863,468.9952901614403,,,4259.350974136115,430.4301148620604,,,5956.5352212392,581.243707495603,,
2018-10-02,19.0,1,10213.0,496.0,14580.0,4991.730179502894,483.1033916178493,,,4653.706159878952,443.15080185207546,,,6485.531117097416,597.2346504857784,,
2018-11-02,20.0,1,10649.0,557.0,15137.0,5433.592771863587,499.0484291322961,,,5057.658694509693,457.2659292398108,,,7012.935054221534,601.7029297584571,,
2018-12-02,21.0,1,11074.0,584.0,15721.0,5888.213400174793,516.8684939132087,,,5472.43579788748,472.7182248226809,,,7508.778737684007,576.1846764406847,,
2019-01-02,22.0,1,11601.0,707.0,16428.0,6356.21206284841,535.4547146376078,,,5898.291305086714,488.54836298821385,,,7913.437722561512,490.68042029292104,,
2019-02-02,23.0,1,11978.0,533.0,16961.0,6841.2163007787285,557.8217365612135,,,6339.2044503714,508.4846508899124,,,8332.000545933028,509.22007879827515,,
2019-03-02,24.0,1,12155.0,317.0,17278.0,7337.429682683013,574.587145033953,,,6791.776393049802,525.1946001388001,,,8770.530760124504,533.9825736072821,,
2019-04-02,25.0,1,12376.0,392.0,17670.0,7837.89007035024,584.518828542094,,,7249.318615164255,535.3495959578963,,,9217.761800646964,547.7072526599449,,
2019-05-02,26.0,1,12645.0,396.0,18066.0,8344.85784639048,596.7595488482538,,,7713.893636402386,547.6240515591998,,,9683.262936373587,571.1008782559397,,
2019-06-02,27.0,1,12861.0,357.0,18423.0,8858.337635811517,609.0794435540736,,,8182.83974276857,557.3173617229296,,,10137.930502844085,565.6001437099059,,
2019-07-02,28.0,1,13158.0,480.0,18903.0,9377.002117318776,620.1466193418255,,,8656.572288355943,567.4761016352605,,,10586.324680663556,564.5354791498345,,
2019-08-02,29.0,1,13404.0,463.0,19366.0,9904.546076764853,634.9679774128043,,,9138.298031051376,580.8964334343319,,,11042.497741768031,577.4512178617196,,
2019-09-03,30.0,1,13566.0,364.0,19730.0,10440.278881293832,649.2004269514524,,,9626.715843101134,593.1072084678186,,,11504.2742168339,588.2806030342651,,
2019-10-11,31.0,1,13842.0,454.0,20184.0,10981.019379081463,660.3455370197718,,,10119.483012097291,603.0519362118828,,,11969.877151831648,597.3972275340402,,
2019-11-02,32.0,1,14096.0,462.0,20646.0,11529.411435604829,674.1918812768143,,,10619.912129810238,616.359082461253,,,12444.011999908764,611.2631415476909,,
2019-12-02,33.0,1,14278.0,373.0,21019.0,12085.549363008635,688.2201948181137,,,11127.97654854137,629.7273571803779,,,12926.470277217983,625.0183142945369,,
2020-01-02,34.0,1,14616.0,541.0,21560.0,12646.596355660442,699.5004403173226,,,11640.625973379367,640.132807877441,,,13410.396430453464,632.013287901001,,
2020-02-02,35.0,1,14888.0,461.0,22021.0,13217.504355908106,715.7888669821681,,,12161.962991976416,654.6933725855711,,,13903.344364812356,646.5789828605543,,
2020-03-02,36.0,1,15074.0,350.0,22371.0,13795.684060032043,729.6009587679923,,,12689.571974167944,666.9378332054052,,,14403.064298541818,658.9982506325447,,
2020-04-02,37.0,1,15209.0,344.0,22715.0,14377.684876042103,740.0457640421217,,,13219.663686372074,675.4649125818315,,,14906.129127391914,668.0679949606023,,
2020-05-04,38.0,1,15340.0,267.0,22982.0,14963.248988063684,750.276528540217,,,13752.579049177866,684.3613549887397,,,15412.76645350946,677.4036609398288,,
2020-06-02,39.0,1,15327.0,159.0,23141.0,15550.021640921137,758.1933593928132,,,14286.90560675743,691.8776896347792,,,15921.003137243963,684.8071142093778,,
2020-07-02,40.0,1,15482.0,362.0,23503.0,16134.776749350493,762.8979501646794,,,14819.895899406507,696.6627313866859,,,16427.895310460215,689.2850217690735,,
2020-08-02,41.0,1,15813.0,527.0,24030.0,16723.516276888997,773.5813912520837,,,15356.955669910969,706.8382075192644,,,16938.975847121474,699.280400424435,,
2020-09-02,42.0,1,15983.0,363.0,24393.0,17320.99544229644,789.0656970642242,,,15902.215685483126,721.1910712719153,,,17458.62966057206,713.7086747988998,,
2020-10-02,43.0,1,16414.0,702.0,25095.0,17922.24813162783,799.6840112309828,,,16450.96473767864,730.9266695336846,,,17982.229037887402,723.6074526966928,,
2020-11-02,44.0,1,17244.0,992.0,26087.0,18537.037825988446,820.1090364284038,,,17012.900435531734,750.3998476357264,,,18519.016887859503,742.7943402212627,,
2020-12-02,45.0,1,17530.0,494.0,26581.0,19173.400861222606,848.7254789613527,,,17596.563709595426,778.5650240246089,,,19076.80168499983,769.9407909214635,,
2021-01-12,46.0,1,17912.0,608.0,27189.0,19816.61659428397,862.8684251296679,,,18188.239275067222,793.2638292305327,,,19641.93451792078,783.6788736829748,,
2021-02-01,47.0,1,18775.0,1135.0,28324.0,20469.772085248125,880.1769366703869,,,18790.561445417577,810.6887376415463,,,20217.26611469255,800.3518644602334,,
2021-03-02,48.0,1,19036.0,454.0,28778.0,21147.466148624604,912.1981337338073,,,19418.948410444293,843.6538045840315,,,20817.900406156485,832.2456242940391,,
2021-04-01,49.0,1,19764.0,1004.0,29782.0,21830.0992267736,924.900889873687,,,20052.320251530036,855.8375542037663,,,21423.625065703265,844.2169281077591,,
2021-05-01,50.0,1,20312.0,767.0,30549.0,22532.78901339265,952.7779216340972,,,20705.929708855478,883.3311513193464,,,22049.279478212153,871.085932644729,,
2021-06-01,51.0,1,20923.0,832.0,31381.0,23248.526133709922,973.8753505886009,,,21373.597133416843,904.8769438973765,,,22689.052998490606,892.3726095381415,,
2021-07-01,52.0,1,22381.0,1677.0,33058.0,23978.754067069844,996.5657306474982,,,22056.386974153786,927.6482351093892,,,23341.71136385201,912.5867738722916,,
2021-08-01,53.0,1,23082.0,830.0,33888.0,24745.73509582918,1041.6844014890016,,,22776.237288020377,972.5308274196954,,,24030.424026989254,956.1180011709773,,
2021-09-02,54.0,1,23876.0,1028.0,34916.0,25525.95520496636,1063.7101050095823,,,23510.16750370737,994.8574174761276,,,24732.78884863216,977.6601313939417,,
2021-10-01,55.0,1,24726.0,1180.0,36096.0,26324.237134802042,1090.7102172828722,,,24263.7191227171,1022.8868100143727,,,25454.129118111225,1004.6819516501298,,
