adoption_scenario,forecast_year,home_zcta,adoption_fraction,vehicle_growth_factor,source_date,source_model_period,source_stock_ev,source_denominator,source_denominator_column,invalid_fraction_before_clip
baseline,2018,12007,9.045200026674394e-05,1.0,2018-12-02,observed_fit,0.0063375996616227,70.06588735387885,total_vehicle_market_proxy,False
baseline,2018,12009,0.00033995491432317344,1.0,2018-12-02,observed_fit,2.239008816842311,6586.193411264612,total_vehicle_market_proxy,False
baseline,2018,12023,0.0006344301861736872,1.0,2018-12-02,observed_fit,0.8001344512502273,1261.1859723698194,total_vehicle_market_proxy,False
baseline,2018,12041,9.045200026674441e-05,1.0,2018-12-02,observed_fit,0.0190127989848682,210.19766206163652,total_vehicle_market_proxy,False
baseline,2018,12045,9.045200026674457e-05,1.0,2018-12-02,observed_fit,0.0348567981389251,385.3623804463337,total_vehicle_market_proxy,False
baseline,2018,12046,0.0003660666162328314,1.0,2018-12-02,observed_fit,0.1282439114849258,350.32943676939425,total_vehicle_market_proxy,False
baseline,2018,12047,0.000307368600272408,1.0,2018-12-02,observed_fit,4.2749066639769815,13908.078639744952,total_vehicle_market_proxy,False
baseline,2018,12054,0.00034483553820983926,1.0,2018-12-02,observed_fit,8.094004671901303,23472.072263549417,total_vehicle_market_proxy,False
baseline,2018,12059,0.0002747333756345335,1.0,2018-12-02,observed_fit,0.3176157228677418,1156.0871413390012,total_vehicle_market_proxy,False
baseline,2018,12067,0.0006960334323523666,1.0,2018-12-02,observed_fit,0.4876820006573457,700.6588735387885,total_vehicle_market_proxy,False
baseline,2018,12077,0.00027960956316961007,1.0,2018-12-02,observed_fit,2.0472691303134085,7321.88522848034,total_vehicle_market_proxy,False
baseline,2018,12084,0.00021553877770014835,1.0,2018-12-02,observed_fit,0.7399938702178351,3433.228480340064,total_vehicle_market_proxy,False
baseline,2018,12085,9.045200026674464e-05,1.0,2018-12-02,observed_fit,0.0126751993232455,140.1317747077577,total_vehicle_market_proxy,False
baseline,2018,12110,0.00032547908666718595,1.0,2018-12-02,observed_fit,5.906490084818803,18147.064824654622,total_vehicle_market_proxy,False
baseline,2018,12120,0.0006185026196737701,1.0,2018-12-02,observed_fit,0.1950117069516361,315.29649309245485,total_vehicle_market_proxy,False
baseline,2018,12143,0.0006162794787997361,1.0,2018-12-02,observed_fit,0.9499637078819686,1541.4495217853348,total_vehicle_market_proxy,False
baseline,2018,12147,9.04520002667445e-05,1.0,2018-12-02,observed_fit,0.0316879983081137,350.32943676939425,total_vehicle_market_proxy,False
baseline,2018,12158,0.0004903183380030427,1.0,2018-12-02,observed_fit,2.1471618398788928,4379.117959617428,total_vehicle_market_proxy,False
baseline,2018,12159,0.00028285832283248344,1.0,2018-12-02,observed_fit,3.7061005249366343,13102.320935175345,total_vehicle_market_proxy,False
baseline,2018,12161,0.00018090400053345,1.0,2018-12-02,observed_fit,0.0003618080010669,2.0,market_size,False
baseline,2018,12183,0.00019868129698370765,1.0,2018-12-02,observed_fit,0.2644948461018772,1331.251859723698,total_vehicle_market_proxy,False
baseline,2018,12186,0.00043984871802485535,1.0,2018-12-02,observed_fit,3.1742942451773866,7216.786397449522,total_vehicle_market_proxy,False
baseline,2018,12189,0.000422446464677457,1.0,2018-12-02,observed_fit,3.685086257688315,8723.202975557917,total_vehicle_market_proxy,False
baseline,2018,12193,0.0003090083333779258,1.0,2018-12-02,observed_fit,0.2056839592397421,665.625929861849,total_vehicle_market_proxy,False
baseline,2018,12202,0.00025823134287956707,1.0,2018-12-02,observed_fit,0.6242156822597011,2417.2731137088203,total_vehicle_market_proxy,False
baseline,2018,12203,0.0003218971505232207,1.0,2018-12-02,observed_fit,6.270014637690289,19478.31668437832,total_vehicle_market_proxy,False
baseline,2018,12204,0.000342316931098669,1.0,2018-12-02,observed_fit,1.8708096836274184,5465.139213602551,total_vehicle_market_proxy,False
baseline,2018,12205,0.0003573893859299973,1.0,2018-12-02,observed_fit,5.759385024889919,16115.154091392136,total_vehicle_market_proxy,False
baseline,2018,12206,0.00031035134227969135,1.0,2018-12-02,observed_fit,1.1089971516029915,3573.3602550478213,total_vehicle_market_proxy,False
baseline,2018,12207,0.0003231506606466182,1.0,2018-12-02,observed_fit,3.022685344590864,9353.795961742826,total_vehicle_market_proxy,False
baseline,2018,12208,0.0005769537220962435,1.0,2018-12-02,observed_fit,7.478583282647357,12962.189160467587,total_vehicle_market_proxy,False
baseline,2018,12209,0.00039876727675827424,1.0,2018-12-02,observed_fit,1.704338968719255,4274.01912858661,total_vehicle_market_proxy,False
baseline,2018,12210,0.0007053788020704559,1.0,2018-12-02,observed_fit,2.2240346259457158,3152.9649309245483,total_vehicle_market_proxy,False
baseline,2018,12211,0.00032897974651987724,1.0,2018-12-02,observed_fit,3.907018707502103,11876.167906482466,total_vehicle_market_proxy,False
baseline,2018,12222,0.0031963686484886883,1.0,2018-12-02,observed_fit,0.7838474198326746,245.230605738576,total_vehicle_market_proxy,False
baseline,2018,12469,0.0003864232752640207,1.0,2018-12-02,observed_fit,0.0947628138644803,245.230605738576,total_vehicle_market_proxy,False
baseline,2019,12007,0.00017898700065525303,1.0,2019-12-02,observed_fit,0.0125408830257196,70.06588735387885,total_vehicle_market_proxy,False
baseline,2019,12009,0.0012025618788738795,1.0,2019-12-02,observed_fit,7.920305123277138,6586.193411264612,total_vehicle_market_proxy,False
baseline,2019,12023,0.002152427904105672,1.0,2019-12-02,observed_fit,2.714611879195444,1261.1859723698194,total_vehicle_market_proxy,False
baseline,2019,12041,0.0009685329479285183,1.0,2019-12-02,observed_fit,0.2035833612842393,210.19766206163652,total_vehicle_market_proxy,False
baseline,2019,12045,0.0001789870006552533,1.0,2019-12-02,observed_fit,0.0689748566414579,385.3623804463337,total_vehicle_market_proxy,False
baseline,2019,12046,0.0012212075058866258,1.0,2019-12-02,observed_fit,0.4278249377158183,350.32943676939425,total_vehicle_market_proxy,False
baseline,2019,12047,0.0010956407598319076,1.0,2019-12-02,observed_fit,15.238257848652085,13908.078639744952,total_vehicle_market_proxy,False
baseline,2019,12054,0.0012298036136646055,1.0,2019-12-02,observed_fit,28.86603928990983,23472.072263549417,total_vehicle_market_proxy,False
baseline,2019,12059,0.0009528031277970265,1.0,2019-12-02,observed_fit,1.1015234442737234,1156.0871413390012,total_vehicle_market_proxy,False
baseline,2019,12067,0.0017199802731484423,1.0,2019-12-02,observed_fit,1.2051194406931254,700.6588735387885,total_vehicle_market_proxy,False
baseline,2019,12077,0.0009887217812024965,1.0,2019-12-02,observed_fit,7.239307404863329,7321.88522848034,total_vehicle_market_proxy,False
baseline,2019,12084,0.001314098843143005,1.0,2019-12-02,observed_fit,4.511601574260495,3433.228480340064,total_vehicle_market_proxy,False
baseline,2019,12085,0.00017898700065525303,1.0,2019-12-02,observed_fit,0.0250817660514392,140.1317747077577,total_vehicle_market_proxy,False
baseline,2019,12110,0.0009842483022378338,1.0,2019-12-02,observed_fit,17.861217744266224,18147.064824654622,total_vehicle_market_proxy,False
baseline,2019,12120,0.0016109359143129426,1.0,2019-12-02,observed_fit,0.5079224443795581,315.29649309245485,total_vehicle_market_proxy,False
baseline,2019,12143,0.002018743351717367,1.0,2019-12-02,observed_fit,3.1117909741120595,1541.4495217853348,total_vehicle_market_proxy,False
baseline,2019,12147,0.00017898700065525306,1.0,2019-12-02,observed_fit,0.062704415128598,350.32943676939425,total_vehicle_market_proxy,False
baseline,2019,12158,0.0019438772734579415,1.0,2019-12-02,observed_fit,8.51246787949183,4379.117959617428,total_vehicle_market_proxy,False
baseline,2019,12159,0.0010781296668284765,1.0,2019-12-02,observed_fit,14.126000904520366,13102.320935175345,total_vehicle_market_proxy,False
baseline,2019,12161,0.0003579740013105,1.0,2019-12-02,observed_fit,0.000715948002621,2.0,market_size,False
baseline,2019,12183,0.000645577932534938,1.0,2019-12-02,observed_fit,0.8594268232837162,1331.251859723698,total_vehicle_market_proxy,False
baseline,2019,12186,0.0014923217328123492,1.0,2019-12-02,observed_fit,10.769767181978462,7216.786397449522,total_vehicle_market_proxy,False
baseline,2019,12189,0.0015644200992592488,1.0,2019-12-02,observed_fit,13.646754064880891,8723.202975557917,total_vehicle_market_proxy,False
baseline,2019,12193,0.001627167078794179,1.0,2019-12-02,observed_fit,1.083084599862964,665.625929861849,total_vehicle_market_proxy,False
