date,DMV_ID,is_train,stock_ev_t_obs,flow_ev_t_obs,adopt_ev_cum_t_obs,stock_ev_t_hat_fit,flow_ev_t_hat_fit,stock_ev_t_hat_anchor,flow_ev_t_hat_anchor,stock_ev_t_hat_cov_fit,flow_ev_t_hat_cov_fit,stock_ev_t_hat_cov_anchor,flow_ev_t_hat_cov_anchor,stock_ev_t_hat_cov_policy_fit,flow_ev_t_hat_cov_policy_fit,stock_ev_t_hat_cov_policy_anchor,flow_ev_t_hat_cov_policy_anchor
2011-03-01,1.0,1,316.0,324.0,324.0,0.49399506826314016,0.49399506826314016,,,34.99458962733191,34.99458962733191,,,30.445099553495844,30.445099553495844,,
2011-04-01,,1,,10.0,334.0,11.215155854101145,10.72716635667134,,,78.93853234547691,44.36937710057589,,,70.04210155688834,39.967127564644166,,
2011-05-01,,1,,10.0,344.0,22.12160283679318,11.042791284924656,,,122.63747055070083,44.658605574266815,,,109.45145617305221,40.26086676525168,,
2011-06-01,,1,,10.0,354.0,33.21107066882908,11.358403417264242,,,166.09437580383644,44.947827052826405,,,148.67543564378406,40.55459695072009,,
2011-07-01,,1,,10.0,364.0,44.481321542862155,11.674002753690099,,,209.3121835400137,45.23704153625467,,,187.71628458690222,40.8483181210494,,
2011-08-01,,1,,10.0,374.0,55.930144856899354,11.989589294202228,,,252.29379350784512,45.52624902455161,,,226.57622033207542,41.142030276239616,,
2011-09-01,,1,,10.0,384.0,67.5553568835618,12.305163038800623,,,295.0420702032721,45.81544951771723,,,265.2574332525689,41.435733416290724,,
2011-10-01,,1,,10.0,394.0,79.35480044336612,12.620723987485293,,,337.5598432981367,46.10464301575151,,,303.7620870929575,41.72942754120273,,
2011-11-01,,1,,10.0,404.0,91.32634458197775,12.936272140256232,,,379.8499080635437,46.39382951865447,,,342.09231929285403,42.02311265097565,,
2011-12-01,,1,,10.0,414.0,103.46788425138797,13.25180749711344,,,421.9150257880748,46.683009026426106,,,380.25024130670363,42.31678874560945,,
2012-01-01,,1,,10.0,424.0,115.77733999496691,13.567330058056921,,,463.75792419091994,46.97218153906642,,,418.237938919688,42.610455825104154,,
2012-02-01,,1,,10.0,434.0,128.2526576363453,13.88283982308667,,,505.3812978299848,47.2613470565754,,,456.05747255979145,42.90411388945976,,
2012-03-01,2.0,1,391.0,54.0,488.0,140.89180797207868,14.198336792202692,,,546.7878085050374,47.55050557895306,,,493.7108776060716,43.19776293867626,,
2012-04-01,,1,,66.0,554.0,155.08076481468285,15.901799312039957,,,589.2522692736777,49.11184072392308,,,532.492073743271,44.78331202284171,,
2012-05-01,,1,,69.0,623.0,171.17872744654196,17.983302340324038,,,633.108504839081,51.019862227241454,,,572.7393374903384,46.72084834842441,,
2012-06-01,,1,,66.0,689.0,189.2565056073217,20.158823172939076,,,678.4259976418791,53.01428618246915,,,614.5224956001979,48.7460346268845,,
2012-07-01,,1,,68.0,757.0,209.19487246767366,22.239186085309857,,,725.0999572444156,54.92168441958633,,,657.7344227770013,50.68276770357328,,
2012-08-01,,1,,69.0,826.0,231.0336668951713,24.382007316225998,,,773.1713741283311,56.886563905099585,,,702.416027416052,52.67777893163642,,
2012-09-01,,1,,66.0,892.0,254.7806923899222,26.55573582520494,,,822.6518238612151,58.88000805228237,,,748.5783547317523,54.701702459562604,,
2012-10-01,,1,,69.0,961.0,280.3176703125408,28.634384341054243,,,873.4371935053459,60.786469081704446,,,796.1150050607688,56.637227687914624,,
2012-11-01,,1,,66.0,1027.0,307.7167280013841,30.806920910669287,,,925.5979504783647,62.779261632404165,,,845.0968290950939,58.66031145563354,,
2012-12-01,,1,,68.0,1095.0,336.860199708684,32.88442931060529,,,979.0304192063765,64.68509939562503,,,895.4178958567899,60.59503343509164,,
2013-01-01,,1,,69.0,1164.0,367.7892501543534,35.02430952870984,,,1033.7765732635023,66.64837112015421,,,947.1201411837213,62.58797262358375,,
2013-02-01,,1,,62.0,1226.0,400.5130358224453,37.19505377468879,,,1089.8489830017545,68.64018386280902,,,1000.2156557132521,64.60979364076879,,
2013-03-01,3.0,1,1166.0,113.0,1339.0,434.7889977796049,39.14505794785969,,,1147.0291729037158,70.4296445737809,,,1054.4820228844876,66.42613627604919,,
2013-04-01,,1,,122.0,1461.0,472.2010364848423,42.69783261589473,,,1206.7749596252202,73.6903893872649,,,1111.3982053942261,69.73567583621387,,
2013-05-01,,1,,127.0,1588.0,512.992156250899,46.531737343787924,,,1269.3138554147517,77.2098367878003,,,1171.194288373151,73.3075147225732,,
2013-06-01,,1,,122.0,1710.0,557.2763811084701,50.520746088728224,,,1334.7550376461897,80.87241780070893,,,1233.980221857801,77.02431501981846,,
2013-07-01,,1,,126.0,1836.0,604.8522537045413,54.35076367394867,,,1402.9179642022495,84.38974022024996,,,1299.571957765192,80.59341528722165,,
2013-08-01,,1,,126.0,1962.0,655.803332106038,58.30435637266442,,,1473.8837755633617,88.02129176701486,,,1368.0509966974103,84.27812671019014,,
2013-09-01,,1,,122.0,2084.0,710.0865519593951,62.25591759211647,,,1547.617286098906,91.65173276673036,,,1439.3808060426652,87.96140688967492,,
2013-10-01,,1,,126.0,2210.0,767.5340217762546,66.08009665782042,,,1623.9685381635122,95.16586344774973,,,1513.4084352252444,91.52639372940904,,
2013-11-01,,1,,122.0,2332.0,828.2306569901949,70.02765941015028,,,1703.0198319677556,98.79411860882833,,,1590.2165627409547,95.2068568582275,,
