date,DMV_ID,is_train,stock_ev_t_obs,flow_ev_t_obs,adopt_ev_cum_t_obs,stock_ev_t_hat_fit,flow_ev_t_hat_fit,stock_ev_t_hat_anchor,flow_ev_t_hat_anchor,stock_ev_t_hat_cov_fit,flow_ev_t_hat_cov_fit,stock_ev_t_hat_cov_anchor,flow_ev_t_hat_cov_anchor,stock_ev_t_hat_cov_policy_fit,flow_ev_t_hat_cov_policy_fit,stock_ev_t_hat_cov_policy_anchor,flow_ev_t_hat_cov_policy_anchor
2016-09-01,,1,,207.0,7389.0,6639.466614679645,292.5895201927891,,,6637.310471559183,291.60466042698596,,,6701.811011158179,291.0037544648646,,
2016-10-01,,1,,214.0,7603.0,6858.858007835348,300.1083670927397,,,6855.902219600787,299.2825094290265,,,6919.343504667599,299.0073974606766,,
2016-11-01,,1,,207.0,7810.0,7083.331304375168,307.85744397001133,,,7079.948099595066,307.39409347137854,,,7143.118428796287,307.8944026561981,,
2016-12-01,,1,,214.0,8024.0,7312.548003873596,315.3298018700163,,,7309.126051240746,315.2499238982531,,,7372.906791279058,316.6283057353728,,
2017-01-01,,1,,214.0,8238.0,7546.679097967477,323.0308176555568,,,7543.545140766049,323.2772119046078,,,7608.725935060559,325.45265801532304,,
2017-02-01,,1,,194.0,8432.0,7785.640411533957,330.7074033374619,,,7782.4388301916415,330.6016792170969,,,7848.159936213463,331.93440346481015,,
2017-03-01,,1,,214.0,8646.0,8028.634672955254,337.64543909142515,,,8025.375693155855,337.54911853822193,,,8091.659463022952,338.9107635531809,,
2017-04-01,,1,,207.0,8853.0,8276.30482599798,345.27544775331523,,,8273.101996450781,345.29197810789384,,,8368.15708055171,374.8691138986847,,
2017-05-01,,1,,214.0,9067.0,8528.32120093616,352.6326321926474,,,8524.721348123343,352.1966716562983,,,8644.977751670433,378.55358976591066,,
2017-06-01,,1,,207.0,9274.0,8784.855723240637,360.2145797628063,,,8780.659925212827,359.57487060674316,,,8924.429137093308,384.5496537574177,,
