date,DMV_ID,is_train,stock_ev_t_obs,flow_ev_t_obs,adopt_ev_cum_t_obs,stock_ev_t_hat_fit,flow_ev_t_hat_fit,stock_ev_t_hat_anchor,flow_ev_t_hat_anchor
2011-03-01,1.0,1,1.0,1.0,1.0,0.00036971016824519093,0.00036971016824519093,,
2011-04-01,,1,,0.0,1.0,0.028152499686945377,0.027786011931774664,,
2011-05-01,,1,,1.0,2.0,0.05569471718955675,0.027786011931774664,,
2011-06-01,,1,,0.0,2.0,0.11053048439423831,0.05520083053061456,,
2011-07-01,,1,,0.0,2.0,0.1649870945475016,0.05520083053061456,,
2011-08-01,,1,,1.0,3.0,0.21920745126967867,0.05520083053061456,,
2011-09-01,,1,,0.0,3.0,0.30056005936177316,0.08261416596476487,,
2011-10-01,,1,,1.0,4.0,0.3814346376776562,0.08261416596476487,,
2011-11-01,,1,,0.0,4.0,0.48932468128809775,0.11002601823422563,,
2011-12-01,,1,,0.0,4.0,0.5965856395219314,0.11002601823422563,,
2012-01-01,,1,,0.0,4.0,0.7033555607754325,0.11002601823422563,,
2012-02-01,,1,,0.0,4.0,0.809580722636029,0.11002601823422563,,
2012-03-01,2.0,1,4.0,1.0,5.0,0.9152795348202861,0.11002601823422563,,
2012-04-01,,1,,2.0,7.0,1.0478171702931804,0.1374363873389968,,
2012-05-01,,1,,2.0,9.0,1.234067763407086,0.19225267605447044,,
2012-06-01,,1,,2.0,11.0,1.4739759315252234,0.24706303211118577,,
2012-07-01,,1,,2.0,13.0,1.766978061022984,0.30186745550914285,,
2012-08-01,,1,,2.0,15.0,2.1130923470564014,0.3566659462483416,,
2012-09-01,,1,,2.0,17.0,2.5120370094700064,0.41145850432878206,,
2012-10-01,,1,,2.0,19.0,2.963213635340657,0.46624512975046417,,
2012-11-01,,1,,2.0,21.0,3.466654211812087,0.521025822513388,,
2012-12-01,,1,,2.0,23.0,4.021778075676786,0.5758005826175536,,
2013-01-01,,1,,2.0,25.0,4.628592856019999,0.6305694100629611,,
2013-02-01,,1,,2.0,27.0,5.286789068460427,0.6853323048496099,,
2013-03-01,3.0,1,27.0,4.0,31.0,5.995844399014293,0.7400892669775007,,
2013-04-01,,1,,4.0,35.0,6.8100727558481005,0.8495853932570072,,
2013-05-01,,1,,5.0,40.0,7.72801344410475,0.9590577889014805,,
2013-06-01,,1,,4.0,44.0,8.776489015816644,1.095864912251557,,
2013-07-01,,1,,5.0,49.0,9.927093022700367,1.2052839139672056,,
2013-08-01,,1,,5.0,54.0,11.206969924030261,1.3420242949062509,,
