date,DMV_ID,is_train,stock_ev_t_obs,flow_ev_t_obs,adopt_ev_cum_t_obs,stock_ev_t_hat_fit,flow_ev_t_hat_fit,stock_ev_t_hat_anchor,flow_ev_t_hat_anchor
2013-09-01,,1,,4.0,58.0,12.615110610082581,1.478727596728057,,
2013-10-01,,1,,5.0,63.0,14.123101068946369,1.5880635412210897,,
2013-11-01,,1,,4.0,67.0,15.758004049552037,1.7247001006318652,,
2013-12-01,,1,,5.0,72.0,17.49140420338738,1.833982651196073,,
2014-01-01,,1,,5.0,77.0,19.350221101479324,1.9705524681958175,,
2014-02-01,,1,,4.0,81.0,21.33314538221833,2.1070852060783225,,
2014-03-01,4.0,1,81.0,5.0,86.0,23.41130967393961,2.216284699419915,,
2014-04-01,,1,,5.0,91.0,25.610608915442086,2.352750694891389,,
2014-05-01,,1,,6.0,97.0,27.928928018368527,2.489179611245624,,
2014-06-01,,1,,5.0,102.0,30.392158260079466,2.65284536643595,,
2014-07-01,,1,,6.0,108.0,32.97178682431954,2.7891927087322586,,
2014-08-01,,1,,6.0,114.0,35.694315553549075,2.9527605750530728,,
2014-09-01,,1,,5.0,119.0,38.558025622154545,3.116275047445063,,
2014-10-01,,1,,6.0,125.0,41.53472840686789,3.2524963207427575,,
2014-11-01,,1,,5.0,130.0,44.65114973393394,3.415912904265235,,
2014-12-01,,1,,6.0,136.0,47.87878132660068,3.552052603505004,,
2015-01-01,,1,,6.0,142.0,51.244040906449904,3.7153712981579696,,
2015-02-01,,1,,5.0,147.0,54.74435852249905,3.8786365988821108,,
2015-03-01,5.0,1,138.0,5.0,152.0,58.34954103514957,4.014650229123266,,
2015-04-01,,1,,5.0,157.0,62.05687397444293,4.150626780247181,,
2015-05-01,,1,,5.0,162.0,65.86284778911353,4.286566252253857,,
2015-06-01,,1,,5.0,167.0,69.76597229811863,4.422468645143294,,
2015-07-01,,1,,5.0,172.0,73.76426012775894,4.55833395891549,,
2015-08-01,,1,,5.0,177.0,77.85687701046197,4.694162193570449,,
2015-09-01,,1,,5.0,182.0,82.04194458457053,4.829953349108167,,
2015-10-01,,1,,5.0,187.0,86.31799614816137,4.965707425528646,,
2015-11-01,,1,,5.0,192.0,90.68422533183363,5.101424422831886,,
2015-12-01,,1,,5.0,197.0,95.1386701208866,5.237104341017886,,
2016-01-01,,1,,5.0,202.0,99.67994661501261,5.372747180086647,,
2016-02-01,,1,,4.0,206.0,104.30525771767883,5.508352940038169,,
2016-03-01,6.0,1,173.0,8.0,214.0,108.98444202291346,5.616810851034974,,
2016-04-01,,1,,9.0,223.0,113.8235347873691,5.833655481123486,,
2016-05-01,,1,,10.0,233.0,118.84584447828576,6.077492227874308,,
2016-06-01,,1,,9.0,242.0,124.0758097142582,6.348281045840823,,
2016-07-01,,1,,9.0,251.0,129.48389419473787,6.591864171429728,,
2016-08-01,,1,,10.0,261.0,135.06840843319858,6.835327160678779,,
2016-09-01,,1,,9.0,270.0,140.8545474634769,7.1057006925322135,,
2016-10-01,,1,,9.0,279.0,146.8134549419952,7.348910060619346,,
2016-11-01,,1,,9.0,288.0,152.9435365418839,7.591999292366624,,
2016-12-01,,1,,9.0,297.0,159.24288987391884,7.834968387774046,,
2017-01-01,,1,,10.0,307.0,165.7100228165812,8.077817346841613,,
2017-02-01,,1,,9.0,316.0,172.3700065948164,8.347508622937843,,
2017-03-01,,1,,10.0,326.0,179.19381908015205,8.590103960843491,,
2017-04-01,,1,,9.0,335.0,186.20662852377495,8.859513435648704,,
2017-05-01,,1,,9.0,344.0,193.37778702745564,9.101855152392437,,
2017-06-01,,1,,9.0,353.0,200.70524609483275,9.344076732796315,,
2017-07-01,7.0,1,252.0,11.0,364.0,208.18706087500712,9.586178176860336,,
2017-08-01,8.0,1,260.0,14.0,378.0,215.87564814475854,9.88191679371162,,
2017-09-01,9.0,1,261.0,11.0,389.0,223.8499981819891,10.258051843156217,,
2017-10-01,,1,,11.0,400.0,232.0268814386921,10.553382589717867,,
2017-11-01,10.0,1,268.0,9.0,409.0,240.40502407655947,10.84853387335208,,
2017-12-01,,1,,9.0,418.0,248.92907698170936,11.089887802412559,,
2018-01-01,11.0,1,272.0,12.0,430.0,257.59784264257564,11.331121595133178,,
2018-02-01,,1,,11.0,441.0,266.4906523243421,11.65257977334312,,
2018-03-01,12.0,1,292.0,23.0,464.0,275.57824100714527,11.947062149702335,,
2018-04-01,13.0,1,313.0,7.0,471.0,285.17927461943765,12.56221811015071,,
2018-05-01,14.0,1,313.0,8.0,479.0,294.85867273684545,12.749283757125202,,
2018-06-01,15.0,1,319.0,18.0,497.0,304.6436756150132,12.962984078071816,,
2018-07-01,16.0,1,329.0,15.0,512.0,314.7989725761921,13.44346273966434,,
2018-08-01,17.0,1,336.0,20.0,532.0,325.2410580800792,13.843494541064109,,
2018-09-01,18.0,1,343.0,26.0,558.0,336.0999945360005,14.376351168622447,,
2018-10-01,19.0,1,355.0,20.0,578.0,347.53040659431883,15.068177851963924,,
2018-11-01,20.0,1,377.0,31.0,609.0,359.3687189964226,15.599669968007857,,
2018-12-01,21.0,1,401.0,30.0,639.0,371.90361001727007,16.42231030618884,,
2019-01-01,22.0,1,426.0,23.0,662.0,385.1013081287563,17.217056763576256,,
2019-02-01,23.0,1,443.0,14.0,676.0,398.7695176253958,17.825458392028317,,
2019-03-01,24.0,1,446.0,15.0,691.0,412.6623773574329,18.195405678388013,,
2019-04-01,25.0,1,449.0,15.0,706.0,426.80232103317167,18.591455182596274,,
2019-05-01,26.0,1,461.0,18.0,724.0,441.1807068211226,18.987170974749386,,
2019-06-01,27.0,1,475.0,14.0,738.0,455.8777015596425,19.461589425420314,,
2019-07-01,28.0,1,481.0,20.0,758.0,470.7835115927431,19.830249324829456,,
2019-08-01,29.0,1,491.0,22.0,780.0,486.04931859980076,20.356402047990926,,
2019-09-01,30.0,1,493.0,20.0,800.0,501.7227884437643,20.934484821381957,,
2019-10-01,31.0,1,513.0,24.0,824.0,517.7453579423236,21.45939168620418,,
2019-11-01,32.0,1,518.0,22.0,846.0,534.2174893131579,22.08849681303476,,
2019-12-01,33.0,1,532.0,27.0,873.0,551.0837731007451,22.664426031296532,,
2020-01-01,34.0,1,548.0,15.0,888.0,568.4675679190386,23.370267140266552,,
2020-02-01,35.0,1,562.0,14.0,902.0,586.049994135824,23.76193389281713,,
2020-03-01,36.0,1,564.0,13.0,915.0,603.8025132218685,24.127188446099012,,
2020-04-01,37.0,1,568.0,20.0,935.0,621.6983920293329,24.466093093029173,,
2020-05-01,38.0,1,588.0,6.0,941.0,639.915410558074,24.98699541318955,,
2020-06-01,39.0,1,586.0,15.0,956.0,658.0876474099792,25.143150422391876,,
2020-07-01,40.0,1,594.0,20.0,976.0,676.4433137143563,25.533304346959085,,
2020-08-01,41.0,1,605.0,16.0,992.0,695.1027404666479,26.05299047207401,,
2020-09-01,42.0,1,613.0,26.0,1018.0,713.9548682858115,26.468312220735363,,
2020-10-01,43.0,1,629.0,40.0,1058.0,733.2538222778188,27.14240025438954,,
2020-11-01,44.0,1,658.0,17.0,1075.0,753.354436643158,28.177500990313423,,
2020-12-01,45.0,1,663.0,16.0,1091.0,773.6528545749935,28.616700209788977,,
2021-01-01,46.0,1,666.0,45.0,1136.0,794.1164025688917,29.02967262558204,,
2021-02-01,47.0,1,688.0,14.0,1150.0,815.487683294068,30.189121901463583,,
2021-03-01,48.0,1,692.0,30.0,1180.0,836.9646522139318,30.54922690694327,,
2021-04-01,49.0,1,711.0,28.0,1208.0,858.9621157653164,31.319901601418916,,
2021-05-01,50.0,1,733.0,27.0,1235.0,881.4227203316702,32.037993653201575,,
2021-06-01,51.0,1,751.0,45.0,1280.0,904.3082824717674,32.729338310495706,,
2021-07-01,52.0,1,782.0,32.0,1312.0,928.0664353738064,33.87917667918882,,
2021-08-01,53.0,1,800.0,32.0,1344.0,952.3469691014806,34.695012260250806,,
2021-09-01,54.0,1,817.0,52.0,1396.0,977.1324732096814,35.50932908067067,,
2021-10-01,55.0,1,859.0,28.0,1424.0,1002.9184398160336,36.82935468217092,,
2021-11-01,56.0,1,877.0,29.0,1453.0,1029.0826616091815,37.53847655391105,,
2021-12-01,57.0,1,895.0,51.0,1504.0,1055.6417089079714,38.27169837116882,,
2022-01-01,58.0,1,931.0,22.0,1526.0,1083.159225968373,39.558131773138165,,
2022-02-01,59.0,1,942.0,36.0,1562.0,1110.9050174333324,40.11187284764392,,
2022-03-01,60.0,1,966.0,45.0,1607.0,1139.23041786526,41.01644618199014,,
2022-04-01,61.0,1,999.0,22.0,1629.0,1168.3629029527583,42.144459782276186,,
2022-05-01,62.0,1,1008.0,38.0,1667.0,1197.7158392174792,42.69484000559536,,
2022-06-01,63.0,1,1039.0,44.0,1711.0,1227.6821787558483,43.643805947218745,,
2022-07-01,64.0,1,1072.0,35.0,1746.0,1258.4034954874526,44.73993298736688,,
2022-08-01,65.0,1,1096.0,43.0,1789.0,1289.634060418443,45.60980174866502,,
2022-09-01,66.0,1,1128.0,42.0,1831.0,1321.565610175011,46.676010388218316,,
2022-10-01,67.0,1,1153.0,28.0,1859.0,1354.1599133860852,47.71477602904367,,
2022-11-01,68.0,1,1172.0,44.0,1903.0,1387.0540783293138,48.405832954864785,,
2022-12-01,69.0,1,1193.0,44.0,1947.0,1420.6477275822028,49.48943021971541,,
2023-01-01,70.0,1,1215.0,52.0,1999.0,1454.942601618055,50.57015607772702,,
2023-02-01,71.0,1,1255.0,47.0,2046.0,1490.1258883902458,51.843675567221,,
2023-03-01,72.0,1,1290.0,55.0,2101.0,1526.0694707545783,52.991290676997984,,
2023-04-01,73.0,1,1324.0,49.0,2150.0,1562.964222743239,54.33008425191039,,
2023-05-01,74.0,1,1361.0,63.0,2213.0,1600.6428836549233,55.51904851502152,,
2023-06-01,75.0,1,1400.0,64.0,2277.0,1639.4390451010413,57.042484248282435,,
2023-07-01,76.0,1,1434.0,63.0,2340.0,1679.3463375853642,58.58407391982049,,
2023-08-01,77.0,1,1486.0,73.0,2413.0,1720.3117402321586,60.09564285240012,,
2023-09-01,78.0,1,1538.0,73.0,2486.0,1762.556478745966,61.839780932060656,,
2023-10-01,79.0,1,1583.0,59.0,2545.0,1806.0544116675944,63.57601522709045,,
2023-11-01,80.0,1,1627.0,63.0,2608.0,1850.4535174427967,64.97349763867635,,
2023-12-01,81.0,1,1668.0,59.0,2667.0,1895.8497496422672,66.46002481863722,,
2024-01-01,82.0,1,1703.0,80.0,2747.0,1942.1231203290592,67.84683141078757,,
2024-02-01,83.0,1,1764.0,62.0,2809.0,1989.7446909460748,69.71900073328351,,
2024-03-01,84.0,1,1776.0,58.0,2867.0,2038.281176442699,71.16340306725436,,
2024-04-01,85.0,1,1800.0,78.0,2945.0,2087.616054611768,72.50945674075254,,
2024-05-01,86.0,1,1865.0,97.0,3042.0,2138.1908491253466,74.31180014787452,,
2024-06-01,87.0,1,1940.0,105.0,3147.0,2190.4219758418535,76.54058756309526,,
2024-07-01,88.0,1,2025.0,84.0,3231.0,2244.4433037845856,78.93746353556418,,
2024-08-01,89.0,1,2079.0,94.0,3325.0,2299.748741790837,80.84319095223346,,
2024-09-01,90.0,1,2145.0,83.0,3408.0,2356.545290106435,82.96338252461803,,
2024-10-01,91.0,1,2197.0,72.0,3480.0,2414.5526229530824,84.82457198634737,,
2024-11-01,92.0,1,2252.0,76.0,3556.0,2473.5166618102644,86.43082172550618,,
2024-12-01,93.0,1,2280.0,112.0,3668.0,2533.512802275896,88.11796624307078,2562.0327159769936,
2025-01-01,94.0,0,2357.0,81.0,3749.0,,,2624.816461718413,90.58866972162993
2025-02-01,95.0,0,2402.0,61.0,3810.0,,,2688.685323473769,92.57343271693951
2025-03-01,96.0,0,2428.0,79.0,3889.0,,,2754.193353485951,94.58910687880584
2025-04-01,97.0,0,2463.0,82.0,3971.0,,,2821.1343318073173,96.6355412687549
2025-05-01,98.0,0,2523.0,57.0,4028.0,,,2888.847381372495,98.71254647408759
2025-06-01,99.0,0,2558.0,65.0,4093.0,,,2957.576422520582,100.81989296863
2025-07-01,100.0,0,2596.0,96.0,4189.0,,,3027.765766800466,102.95730946627957
2025-08-01,,0,,,4189.0,,,3099.537053482146,105.12448127174926
2025-09-01,,0,,,4189.0,,,3172.8293649125594,107.32104863325527
2025-10-01,,0,,,4189.0,,,3247.787831937977,109.54660510224224
2025-11-01,,0,,,4189.0,,,3324.050833074188,111.80069590559252
2025-12-01,,0,,,4189.0,,,3401.4617997856863,114.08281633612191
2026-01-01,,0,,,4189.0,,,3479.8923714031675,116.3924101675202
2026-02-01,,0,,,4189.0,,,3559.6241490145644,118.72886810024983
2026-03-01,,0,,,4189.0,,,3640.8559248995043,121.09152624526713
2026-04-01,,0,,,4189.0,,,3723.2355527877553,123.47966465277464
2026-05-01,,0,,,4189.0,,,3806.1608323470114,125.8925058935504
2026-06-01,,0,,,4189.0,,,3890.110361420754,128.32921370072253
2026-07-01,,0,,,4189.0,,,3975.547151838777,130.7888916801677
2026-08-01,,0,,,4189.0,,,4062.8282679617887,133.27058209800265
2026-09-01,,0,,,4189.0,,,4151.956211150773,135.77326475390723
2026-10-01,,0,,,4189.0,,,4243.1123486154665,138.2958559492611
2026-11-01,,0,,,4189.0,,,4335.620669079489,140.83720755929207
2026-12-01,,0,,,4189.0,,,4429.291840910263,143.39610621861559
2027-01-01,,0,,,4189.0,,,4524.045370225055,145.9712726296896
2027-02-01,,0,,,4189.0,,,4620.637105200224,148.56136100381457
2027-03-01,,0,,,4189.0,,,4718.182865508323,151.1649586443672
2027-04-01,,0,,,4189.0,,,4816.479709573089,153.7805856819653
2027-05-01,,0,,,4189.0,,,4915.817841194482,156.40669497122056
2027-06-01,,0,,,4189.0,,,5016.759336109175,159.041672158634
2027-07-01,,0,,,4189.0,,,5119.549219199584,161.68383593102834
